MSS	V	B	TQ	lambda t
1.16803619903612	17.4143706052741	1.39999963410202	3.38622976596218e-18	0.485422742559829	235.400000000000
1.15667432682447	17.4711415575751	1.40431197664093	3.22108170365965e-18	0.479938475721843	235.450000000000
1.16057616179478	17.5488327234417	1.40862428944233	3.06398784973527e-18	0.472328012750475	235.500000000000
1.17332115435112	17.6071715430248	1.41293661851796	2.91455522239971e-18	0.465847296907954	235.550000000000
1.18285924435982	17.5616571539537	1.41724893752585	2.77241086466135e-18	0.460057872588991	235.600000000000
1.21189742481928	17.4694481748729	1.42156126698053	2.63719876734300e-18	0.455036962663192	235.650000000000
1.25834129305773	17.3823839320213	1.42587358056179	2.50858066298223e-18	0.452022784487498	235.700000000000
1.30019919402534	17.3460648365574	1.43018591804331	2.38623545147525e-18	0.449654850813591	235.750000000000
1.34471721373756	17.3552215710311	1.43449822845157	2.26985738629217e-18	0.446681119931098	235.800000000000
1.37424879720290	17.3231954378761	1.43881055841930	2.15915483681109e-18	0.442019448325301	235.850000000000
1.39531674675480	17.2548754645763	1.44312289392560	2.05385158700063e-18	0.436916738764374	235.900000000000
1.42395279543824	17.2551743504705	1.44743517298214	1.95368420363082e-18	0.433179560049725	235.950000000000
1.45596194356443	17.3171120111745	1.45174758660730	1.85840177111714e-18	0.429557708162914	236
1.48155294101241	17.3558263406027	1.45605976693041	1.76776638453535e-18	0.426424714127406	236.050000000000
1.49348941819463	17.3749943213035	1.46037227855876	1.68155119599486e-18	0.422480744070010	236.100000000000
1.49218371487856	17.3532833638450	1.46468439914547	1.59954065874470e-18	0.418153959936341	236.150000000000
1.46778401306729	17.2385806609339	1.46899687045764	1.52153019890657e-18	0.416671868120794	236.200000000000
1.42859810740777	17.1585723387627	1.47330920933056	1.44732448691596e-18	0.415203172333921	236.250000000000
1.39289848156150	17.2203899171442	1.47762120931035	1.37673782339141e-18	0.410702793916900	236.300000000000
1.35218380784180	17.2395603484996	1.48193432479778	1.30959374545544e-18	0.408344023994647	236.350000000000
1.31482332427122	17.3583937029646	1.48624526412758	1.24572433996915e-18	0.403289405494317	236.400000000000
1.27416114856067	17.5438282422624	1.49055957131031	1.18496972329024e-18	0.394142558804825	236.450000000000
1.22601193913232	17.7414917743143	1.49486953501647	1.12717790363618e-18	0.384866721253666	236.500000000000
1.20252873154369	17.9098026395094	1.49918401726533	1.07220473070800e-18	0.377384433879497	236.550000000000
1.18221407755879	18.0757955298782	1.50780593550566	9.70170984263843e-19	0.369418522993958	236.650000000000
1.19170755021109	18.1244770093884	1.51642403624133	8.77846975970687e-19	0.362963717727719	236.750000000000
1.33173275599748	18.3504252370164	1.53800890266053	6.83668086827980e-19	0.343297107131101	237
1.46893260083731	18.4776968719717	1.55302129251272	5.59739998879920e-19	0.327611305744256	237.200000000000
1.45401208073793	18.4037282633504	1.55281578383870	4.81772752566755e-19	0.319628735973198	237.350000000000
1.38413091269395	18.2923674810660	1.55281921573882	4.35926016195849e-19	0.315604788759487	237.450000000000
1.33046816486132	18.3020921408041	1.55280581167448	4.14665677088932e-19	0.309191419440943	237.500000000000
1.29382227252549	18.2528490510381	1.55282585077672	3.94442219712766e-19	0.304169829915374	237.550000000000
1.25386508348131	18.1825196798407	1.55280719659368	3.75205033836625e-19	0.299767432060190	237.600000000000
1.21164634722961	18.1399548208576	1.55282108108052	3.56906088403848e-19	0.295374184954425	237.650000000000
1.17468617644859	18.1766824967638	1.55281263585909	3.39499643762598e-19	0.290776674860610	237.700000000000
1.12549864853898	17.9545632022261	1.55281481729722	2.92210058547628e-19	0.283070763016389	237.850000000000
1.25039983921612	17.7084289511623	1.55281521754018	2.39241453570084e-19	0.269457388533497	238.050000000000
1.37284724544309	17.8858776053892	1.55281552277355	2.05917069608597e-19	0.252657635486445	238.200000000000
1.45577227546854	17.6797963425832	1.55281549487227	1.86321498487952e-19	0.250555227583416	238.300000000000
1.47216727831793	17.6527963405533	1.55281552964715	1.68590674031126e-19	0.243158407462445	238.400000000000
1.42498590869863	17.5488661189348	1.55281556810260	1.45107311464713e-19	0.235529627627809	238.550000000000
1.38785121983410	17.4559039181632	1.55281557485207	1.38030343451317e-19	0.234549364892006	238.600000000000
1.23112201718158	17.2143181137123	1.55281556470219	1.18803818458362e-19	0.228769868361786	238.750000000000
1.14849010129562	17.1863630114880	1.55281556891155	1.07498133440465e-19	0.223095611284067	238.850000000000
1.13717150915646	17.1639213134365	1.55281556958252	9.72683390837633e-20	0.219234040361842	238.950000000000
1.14044746060268	17.1594669514403	1.55281556865964	9.25244965222495e-20	0.216741776425213	239
1.15693994322333	17.1117227174799	1.55281557048039	8.80120129157373e-20	0.215123353939005	239.050000000000
1.18963136289433	17.1727999517962	1.55281556918635	8.37196260062836e-20	0.211827954758339	239.100000000000
1.30870794622672	17.2566812072685	1.55281556917395	7.20581539137044e-20	0.204188404153233	239.250000000000
1.45382397824146	17.2966196668369	1.55281556920095	5.89962187825731e-20	0.195829433817763	239.450000000000
1.48254370865843	17.2373328363597	1.55281556929633	5.61189353325778e-20	0.194834772522865	239.500000000000
1.43644247717706	17.2543731170861	1.55281556974592	4.83020122943906e-20	0.189788304366905	239.650000000000
1.28423600835603	17.1599328494118	1.55281556826154	4.15739146288959e-20	0.183707549847299	239.800000000000
1.23819016392280	17.1751279816257	1.55281557030383	3.95463263756194e-20	0.182033727126092	239.850000000000
1.19443467481289	17.2085250539899	1.55281556889409	3.76176195331499e-20	0.179791655580403	239.900000000000
1.15898561770522	17.2393423388205	1.55281556850040	3.57829787823427e-20	0.177178035657248	239.950000000000
1.14552508629689	17.2187845186564	1.55281556882351	3.40378208066115e-20	0.175330522928340	240
1.13458792822094	17.2253881939819	1.55281556852291	3.23777772494892e-20	0.173716560136166	240.050000000000
1.13145544556665	17.2084638009451	1.55281556852448	3.07986930900211e-20	0.173313997460381	240.100000000000
1.14430648186572	17.1353675599566	1.55281556980965	2.92966239092629e-20	0.173277683226143	240.150000000000
1.16071497595810	17.2023245936357	1.55281556925053	2.78678084052268e-20	0.171627261401992	240.200000000000
1.22165374855245	17.1662130632568	1.55281556930237	2.52158329866998e-20	0.169480240857586	240.300000000000
1.26847723329646	17.1067376272709	1.55281556860290	2.39860421010761e-20	0.168774929355586	240.350000000000
1.47164937303283	17.0528601312461	1.55281556962098	1.96381197097096e-20	0.163852661144144	240.550000000000
1.49497572362059	16.9718110065441	1.55281556951169	1.86803568736271e-20	0.163252585864883	240.600000000000
1.48991958982025	16.9312339584508	1.55281556969384	1.77693041170914e-20	0.162092174058529	240.650000000000
1.47607023312948	16.9131549276616	1.55281556900504	1.69026827204181e-20	0.160752242530555	240.700000000000
1.45050424930859	16.9584057443176	1.55281556963262	1.60783296080062e-20	0.158662159274453	240.750000000000
1.42317641568496	17.0872751998083	1.55281556867917	1.52941803148917e-20	0.155392769716961	240.800000000000
1.38500841618545	17.2105304579176	1.55281556863372	1.45482738279959e-20	0.151978411882025	240.850000000000
